id,delivery_id,invoice_number,invoice_date,due_date,total_amount,status
90504276,80738092,INV-90504276,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
90504273,80738090,INV-90504273,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
90504272,80738089,INV-90504272,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
90504270,80738088,INV-90504270,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,455.93,paid
90504269,80738087,INV-90504269,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,191.53,paid
90504246,80738071,INV-90504246,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,221.19,paid
90504245,80738070,INV-90504245,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,329.66,paid
90504238,80738065,INV-90504238,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,287.29,paid
90504234,80738062,INV-90504234,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
90504232,80738061,INV-90504232,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,179.66,paid
90504231,80738060,INV-90504231,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
90504227,80738057,INV-90504227,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,185.59,paid
90504226,80738056,INV-90504226,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
90504223,80738054,INV-90504223,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504222,80738053,INV-90504222,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,329.66,paid
90504221,80738052,INV-90504221,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504218,80738050,INV-90504218,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,329.66,paid
90504217,80738049,INV-90504217,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504215,80738048,INV-90504215,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504212,80738046,INV-90504212,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504211,80738045,INV-90504211,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504210,80738044,INV-90504210,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,363.56,paid
90504208,80738043,INV-90504208,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,249.15,paid
90504207,80738042,INV-90504207,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,250,paid
90504206,80738041,INV-90504206,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,221.19,paid
90504204,80738040,INV-90504204,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,229.66,paid
90504301,80738111,INV-90504301,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,1091.53,paid
90504296,80738107,INV-90504296,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,634.75,paid
90504281,80738096,INV-90504281,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,473.73,paid
90504279,80738094,INV-90504279,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,327.97,paid
90504277,80738093,INV-90504277,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,842.93,paid
90504249,80738073,INV-90504249,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,561.14,paid
90504243,80738069,INV-90504243,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,2033.65,paid
90504241,80738067,INV-90504241,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,180.34,paid
90504228,80738058,INV-90504228,2025-04-03T00:00:00.000Z,2025-04-02T00:00:00.000Z,449.24,paid
91150083,80754606,INV-91150083,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,589.95,paid
91150084,80754605,INV-91150084,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,299,paid
91150085,80754604,INV-91150085,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,254,paid
91150086,80754603,INV-91150086,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,245.9,paid
91150087,80754602,INV-91150087,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,179,paid
91150088,80754601,INV-91150088,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,382.9,paid
91150090,80754574,INV-91150090,2025-07-24T00:00:00.000Z,2025-05-16T00:00:00.000Z,167,paid
91150147,80738111,INV-91150147,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,1091.53,paid
91150148,80738110,INV-91150148,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150149,80738109,INV-91150149,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,533.05,paid
91150150,80738108,INV-91150150,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
91150151,80738107,INV-91150151,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,634.75,paid
91150152,80738106,INV-91150152,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150153,80738105,INV-91150153,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150154,80738104,INV-91150154,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
91150155,80738103,INV-91150155,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
91150156,80738102,INV-91150156,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,216.1,paid
91150157,80738101,INV-91150157,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,205.93,paid
91150158,80738100,INV-91150158,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150159,80738099,INV-91150159,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150160,80738098,INV-91150160,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150161,80738097,INV-91150161,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,464.41,paid
91150162,80738096,INV-91150162,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,473.73,paid
91150163,80738095,INV-91150163,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
91150164,80738094,INV-91150164,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,327.97,paid
91150165,80738093,INV-91150165,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,842.93,paid
91150166,80738092,INV-91150166,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,215.25,paid
91150167,80738091,INV-91150167,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,253.39,paid
91150168,80738090,INV-91150168,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
91150169,80738089,INV-91150169,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,422.03,paid
91150170,80738088,INV-91150170,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,455.93,paid
91150171,80738087,INV-91150171,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,191.53,paid
91150172,80738086,INV-91150172,2025-07-24T00:00:00.000Z,2025-04-02T00:00:00.000Z,337.29,paid
